ID	| NAMA	| HARGA/1000	| MIN	| MAX	| KATEGORI
34	| TikTok Video Shares | Max 100M	| Rp 1644.00	| 10	| 100000000	| TikTok Video Shares
314	| TikTok Story Likes | Max 100K - Real	| Rp 3012.00	| 10	| 100000	| TikTok Story Views/Share/Likes
313	| TikTok Story Likes | Max 30K	| Rp 5193.00	| 50	| 30000	| TikTok Story Views/Share/Likes
315	| TikTok Story Views | Max 50K	| Rp 5401.00	| 100	| 50000	| TikTok Story Views/Share/Likes
316	| TikTok Story Share | Max 50K	| Rp 5401.00	| 10	| 50000	| TikTok Story Views/Share/Likes
784	| TikTok Live Comments CUSTOM | Max 1M - Real - INSTANT 🚀	| Rp 14301.00	| 10	| 1000000	| TikTok Livestream Comments
317	| TikTok Live Comments CUSTOM | Max 5K - Real - INSTANT	| Rp 24516.00	| 10	| 5000	| TikTok Livestream Comments
318	| TikTok Live Comments Emoji | Max 5K - Real - INSTANT	| Rp 24516.00	| 10	| 5000	| TikTok Livestream Comments
319	| TikTok Live Comments RANDOM | Max 5K - Real - INSTANT	| Rp 24516.00	| 10	| 5000	| TikTok Livestream Comments
778	| TikTok Live Comments CUSTOM | Max 1M - Real - Natural Proses	| Rp 97041.00	| 10	| 1000000	| TikTok Livestream Comments
777	| TikTok Live Stream Likes ❤️ | Max 500M - INSTANT 🚀	| Rp 82.00	| 10	| 2147483647	| TikTok Livestream Likes
551	| TikTok Live Stream Likes PK Battle Point ❤️ | Max 100M - INSTANT	| Rp 2452.00	| 100	| 2147483647	| TikTok Livestream Likes | PK Battle Point
303	| TikTok Live Stream Views | Max 100K - 15 Minutes - Natural Increase - Views 60-90% Stay	| Rp 112364.00	| 50	| 100000	| TikTok Livestream Views | Server 3
304	| TikTok Live Stream Views | Max 100K - 30 Minutes - Natural Increase - Views 60-90% Stay	| Rp 224727.00	| 50	| 100000	| TikTok Livestream Views | Server 3
305	| TikTok Live Stream Views | Max 100K - 60 Minutes - Natural Increase - Views 60-90% Stay	| Rp 449453.00	| 50	| 100000	| TikTok Livestream Views | Server 3
306	| TikTok Live Stream Views | Max 100K - 90 Minutes - Natural Increase - Views 60-90% Stay	| Rp 674179.00	| 50	| 100000	| TikTok Livestream Views | Server 3
307	| TikTok Live Stream Views | Max 100K - 120 Minutes - Natural Increase - Views 60-90% Stay	| Rp 898905.00	| 50	| 100000	| TikTok Livestream Views | Server 3
308	| TikTok Live Stream Views | Max 100K - 180 Minutes - Natural Increase - Views 60-90% Stay	| Rp 1348357.00	| 50	| 100000	| TikTok Livestream Views | Server 3
309	| TikTok Live Stream Views | Max 100K - 240 Minutes - Natural Increase - Views 60-90% Stay	| Rp 1797809.00	| 50	| 100000	| TikTok Livestream Views | Server 3
310	| TikTok Live Stream Views | Max 100K - 300 Minutes - Natural Increase - Views 60-90% Stay	| Rp 2247261.00	| 50	| 100000	| TikTok Livestream Views | Server 3
311	| TikTok Live Stream Views | Max 100K - 360 Minutes - Natural Increase - Views 60-90% Stay	| Rp 2696713.00	| 50	| 100000	| TikTok Livestream Views | Server 3
